provincia,area
Buenos Aires,306094275839.13
"Buenos Aires, Ciudad Autonoma de",376505176.882156
Catamarca,101392520642.998
Chaco,99291936155.8456
Chubut,225213465816.789
Cordoba,168142394755.05
Corrientes,89089448717.9926
Entre Rios,78186371183.2052
Formosa,75916849159.977
Jujuy,53615455112.2286
La Pampa,142670457760.129
La Rioja,90435855235.7487
Mendoza,150803954485.48
Misiones,29432492909.4883
Neuquen,94685526907.8465
Rio Negro,202639840421.548
Salta,155449405515.502
San Juan,87851280441.5307
San Luis,77364172163.3854
Santa Cruz,244142518266.721
Santa Fe,132674483196.239
Santiago del Estero,134924369092.314
"Tierra del Fuego, Antartida e Islas del Atlantico Sur, Territorio Nacional de la",21079347518.2941
Tucuman,22832973364.0815
